feature SRR28380565 SRR28380566 SRR28380568 SRR28380570 SRR28380572 SRR28380573 SRR28380580 SRR28380582 SRR28380584 SRR28380586 SRR28380588 SRR28380589
ENSG00000008324 373 972 707 628 197 229 288 717 234 191 286 107
ENSG00000008382 62 217 280 138 89 64 39 147 99 97 74 68
ENSG00000008394 11 57 55 117 21 17 52 47 90 17 21 200
ENSG00000008405 60 164 199 144 78 75 419 154 76 128 95 66
ENSG00000008438 582 2475 4486 1767 1057 849 113 1118 1018 676 392 5015
ENSG00000008441 5 12 30 25 4 6 19 22 28 14 12 20
ENSG00000008513 1324 3345 3437 4707 2219 3591 1872 2477 2631 2796 1931 2138
ENSG00000008516 30065 71272 93705 68935 35397 70580 20712 141092 71992 38877 35582 37267
ENSG00000008517 446 1709 2308 812 518 458 384 2220 724 847 808 937
ENSG00000008710 18 237 209 106 45 51 27 82 112 121 60 93
ENSG00000008735 8 20 16 9 6 5 16 19 9 22 12 14
ENSG00000008838 41 279 333 159 38 76 70 222 190 161 98 188
ENSG00000008853 20 84 72 68 29 21 39 49 54 59 26 43
ENSG00000008869 559 734 760 914 708 750 1118 710 2032 2745 689 1274
ENSG00000008952 1701 2556 2353 2966 1025 1714 1553 1843 2240 2290 1133 3447
ENSG00000008988 1320 13889 8074 4764 1214 1580 2202 4361 2461 2750 2347 1896
ENSG00000009307 10695 14567 16177 18317 8530 10807 11284 11544 9644 10095 7961 5860
ENSG00000009335 716 919 1054 1254 498 894 683 802 642 620 437 597
ENSG00000009413 753 756 688 2137 810 1102 731 650 1185 1342 542 849
ENSG00000009694 15 40 260 782 426 44 32 182 520 38 49 805
ENSG00000009709 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000009724 6 6 8 2 2 6 3 2 4 4 4 4
ENSG00000009765 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000009780 133 221 230 169 86 119 213 246 248 244 126 115
ENSG00000009790 1674 5462 4706 1857 2135 1665 1472 4666 2070 2398 1877 2638
ENSG00000009830 57 174 210 135 86 84 84 116 65 61 64 34
ENSG00000009844 539 491 605 817 263 351 369 563 798 703 413 941
ENSG00000009950 0 0 0 0 0 0 0 1 0 0 0 0
ENSG00000009954 594 835 1087 1141 495 730 687 707 713 930 421 557
ENSG00000010017 1203 1760 1854 2144 1060 1338 1391 1530 1343 1314 944 2298
ENSG00000010030 127 292 295 353 448 196 816 159 2307 548 211 1085
ENSG00000010072 302 390 223 409 222 265 443 274 423 411 202 201
ENSG00000010165 160 181 333 267 60 101 99 180 153 190 112 191
ENSG00000010219 11 46 48 28 4 11 7 22 15 21 10 66
ENSG00000010244 2240 2898 3300 3013 1985 1936 2822 3424 2362 2409 1957 2925
ENSG00000010256 700 1474 2510 1375 502 610 609 1237 619 637 534 993
ENSG00000010270 1176 953 1110 695 592 805 812 1185 1062 1218 891 951
ENSG00000010278 785 774 1712 163 191 152 353 199 18 327 331 354
ENSG00000010282 4 9 3 12 9 2 3 10 5 4 1 0
ENSG00000010292 659 855 1479 1439 529 823 627 820 657 505 459 769
ENSG00000010295 489 979 1929 891 453 761 428 1220 376 794 412 718
ENSG00000010310 13 108 149 18 12 14 19 66 12 47 26 40
ENSG00000010318 50 95 117 80 68 61 63 74 70 64 45 39
ENSG00000010319 2 4 2 1 1 4 4 6 8 8 1 15
ENSG00000010322 924 1939 2679 1775 1084 1088 708 1311 1039 1264 728 880
ENSG00000010327 4 279 167 274 36 82 154 249 448 80 66 793
ENSG00000010361 369 694 939 580 535 308 208 505 267 344 377 171
ENSG00000010379 10 14 32 15 11 7 10 33 9 14 10 7
ENSG00000010404 1245 1842 1633 2257 1895 1569 941 1293 1091 971 727 658
